games_played,landlord_lv,peasants_lv,win_rate_landlord,win_rate_peasants
1234,0,0,0.3946515397082658,0.6053484602917342
1234,0,1,0.45786061588330634,0.5421393841166937
1234,0,2,0.5591572123176661,0.44084278768233387
1234,0,3,0.5810372771474879,0.4189627228525122
1234,0,4,0.7017828200972447,0.29821717990275526
1234,0,5,0.813614262560778,0.18638573743922204
1234,0,6,0.8938411669367909,0.10615883306320907
1234,0,7,0.859805510534846,0.14019448946515398
1234,0,8,0.8525121555915721,0.14748784440842788
1234,0,9,0.8833063209076175,0.1166936790923825
1234,1,0,0.3581847649918963,0.6418152350081038
1234,1,1,0.4805510534846029,0.5194489465153971
1234,1,2,0.5470016207455429,0.4529983792544571
1234,1,3,0.6094003241491086,0.3905996758508914
1234,1,4,0.692868719611021,0.3071312803889789
1234,1,5,0.7536466774716369,0.24635332252836303
1234,1,6,0.820097244732577,0.17990275526742303
1234,1,7,0.8111831442463533,0.18881685575364668
1234,1,8,0.7601296596434359,0.23987034035656402
1234,1,9,0.8354943273905997,0.16450567260940033
1234,2,0,0.2925445705024311,0.7074554294975689
1234,2,1,0.42706645056726095,0.5729335494327391
1234,2,2,0.42301458670988656,0.5769854132901134
1234,2,3,0.4862236628849271,0.513776337115073
1234,2,4,0.5786061588330632,0.4213938411669368
1234,2,5,0.6247974068071313,0.3752025931928687
1234,2,6,0.7050243111831442,0.29497568881685576
1234,2,7,0.6936790923824959,0.3063209076175041
1234,2,8,0.6393841166936791,0.3606158833063209
1234,2,9,0.7196110210696921,0.28038897893030795
1234,3,0,0.28038897893030795,0.7196110210696921
1234,3,1,0.37439222042139386,0.6256077795786061
1234,3,2,0.41572123176661263,0.5842787682333873
1234,3,3,0.40923824959481364,0.5907617504051864
1234,3,4,0.46353322528363045,0.5364667747163695
1234,3,5,0.5883306320907618,0.41166936790923825
1234,3,6,0.673419773095624,0.326580226904376
1234,3,7,0.6693679092382496,0.33063209076175043
1234,3,8,0.6110210696920584,0.3889789303079417
1234,3,9,0.6482982171799028,0.35170178282009723
1234,4,0,0.18962722852512157,0.8103727714748784
1234,4,1,0.23743922204213938,0.7625607779578606
1234,4,2,0.28768233387358183,0.7123176661264181
1234,4,3,0.28444084278768234,0.7155591572123177
1234,4,4,0.36709886547811993,0.63290113452188
1234,4,5,0.4173419773095624,0.5826580226904376
1234,4,6,0.5113452188006483,0.4886547811993517
1234,4,7,0.5251215559157212,0.47487844408427876
1234,4,8,0.5105348460291734,0.48946515397082657
1234,4,9,0.5445705024311183,0.4554294975688817
1234,5,0,0.09724473257698542,0.9027552674230146
1234,5,1,0.1580226904376013,0.8419773095623987
1234,5,2,0.17828200972447325,0.8217179902755267
1234,5,3,0.18152350081037277,0.8184764991896273
1234,5,4,0.23581847649918963,0.7641815235008104
1234,5,5,0.30307941653160453,0.6969205834683955
1234,5,6,0.40842787682333875,0.5915721231766613
1234,5,7,0.4529983792544571,0.5470016207455429
1234,5,8,0.47244732576985415,0.5275526742301458
1234,5,9,0.4683954619124797,0.5316045380875203
1234,6,0,0.09805510534846029,0.9019448946515397
1234,6,1,0.15316045380875204,0.846839546191248
1234,6,2,0.14505672609400325,0.8549432739059968
1234,6,3,0.14829821717990274,0.8517017828200972
1234,6,4,0.1920583468395462,0.8079416531604539
1234,6,5,0.2625607779578606,0.7374392220421394
1234,6,6,0.29740680713128037,0.7025931928687196
1234,6,7,0.32982171799027554,0.6701782820097245
1234,6,8,0.3338735818476499,0.6661264181523501
1234,6,9,0.3857374392220421,0.6142625607779578
1234,7,0,0.12236628849270664,0.8776337115072933
1234,7,1,0.17828200972447325,0.8217179902755267
1234,7,2,0.17828200972447325,0.8217179902755267
1234,7,3,0.1952998379254457,0.8047001620745543
1234,7,4,0.22123176661264182,0.7787682333873582
1234,7,5,0.2852512155591572,0.7147487844408428
1234,7,6,0.3055105348460292,0.6944894651539708
1234,7,7,0.34521880064829824,0.6547811993517018
1234,7,8,0.31766612641815234,0.6823338735818476
1234,7,9,0.3549432739059968,0.6450567260940032
1234,8,0,0.11102106969205834,0.8889789303079416
1234,8,1,0.17098865478119935,0.8290113452188006
1234,8,2,0.17017828200972449,0.8298217179902755
1234,8,3,0.17341977309562398,0.826580226904376
1234,8,4,0.21393841166936792,0.7860615883306321
1234,8,5,0.2909238249594814,0.7090761750405187
1234,8,6,0.3233387358184765,0.6766612641815235
1234,8,7,0.3727714748784441,0.6272285251215559
1234,8,8,0.3184764991896272,0.6815235008103727
1234,8,9,0.36628849270664504,0.6337115072933549
1234,9,0,0.08914100486223663,0.9108589951377634
1234,9,1,0.15721231766612642,0.8427876823338736
1234,9,2,0.1612641815235008,0.8387358184764991
1234,9,3,0.18152350081037277,0.8184764991896273
1234,9,4,0.2179902755267423,0.7820097244732577
1234,9,5,0.2325769854132901,0.7674230145867099
1234,9,6,0.3063209076175041,0.6936790923824959
1234,9,7,0.34764991896272285,0.6523500810372771
1234,9,8,0.33306320907617504,0.666936790923825
1234,9,9,0.34359805510534847,0.6564019448946515
