games_played,landlord_lv,peasants_lv,win_rate_l,win_rate_p
1234,0,0,0.3525121555915721,0.6474878444084279
1234,0,1,0.4829821717990275,0.5170178282009724
1234,0,2,0.6183144246353323,0.38168557536466774
1234,0,3,0.7406807131280388,0.2593192868719611
1234,0,4,0.747163695299838,0.25283630470016205
1234,0,5,0.7317666126418152,0.26823338735818475
1234,0,6,0.8225283630470016,0.1774716369529984
1234,0,7,0.8209076175040518,0.17909238249594814
1234,0,8,0.8176661264181524,0.18233387358184766
1234,0,9,0.873581847649919,0.12641815235008103
1234,1,0,0.30226904376012964,0.6977309562398704
1234,1,1,0.40437601296596437,0.5956239870340356
1234,1,2,0.49108589951377635,0.5089141004862237
1234,1,3,0.5526742301458671,0.4473257698541329
1234,1,4,0.5891410048622366,0.41085899513776336
1234,1,5,0.6077795786061588,0.39222042139384117
1234,1,6,0.600486223662885,0.39951377633711505
1234,1,7,0.6717990275526742,0.32820097244732577
1234,1,8,0.626418152350081,0.373581847649919
1234,1,9,0.7171799027552674,0.28282009724473256
1234,2,0,0.17828200972447325,0.8217179902755267
1234,2,1,0.31766612641815234,0.6823338735818476
1234,2,2,0.46029173419773095,0.539708265802269
1234,2,3,0.5591572123176661,0.44084278768233387
1234,2,4,0.5316045380875203,0.4683954619124797
1234,2,5,0.48946515397082657,0.5105348460291734
1234,2,6,0.5113452188006483,0.4886547811993517
1234,2,7,0.553484602917342,0.446515397082658
1234,2,8,0.5721231766612642,0.42787682333873583
1234,2,9,0.6231766612641815,0.37682333873581847
1234,3,0,0.16693679092382496,0.833063209076175
1234,3,1,0.23824959481361427,0.7617504051863857
1234,3,2,0.36709886547811993,0.63290113452188
1234,3,3,0.39303079416531606,0.606969205834684
1234,3,4,0.4141004862236629,0.5858995137763371
1234,3,5,0.3541329011345219,0.6458670988654781
1234,3,6,0.39384116693679094,0.6061588330632091
1234,3,7,0.4213938411669368,0.5786061588330632
1234,3,8,0.5,0.5
1234,3,9,0.5470016207455429,0.4529983792544571
1234,4,0,0.1458670988654781,0.8541329011345219
1234,4,1,0.20502431118314424,0.7949756888168558
1234,4,2,0.31361426256077796,0.686385737439222
1234,4,3,0.41085899513776336,0.5891410048622366
1234,4,4,0.37439222042139386,0.6256077795786061
1234,4,5,0.35089141004862234,0.6491085899513777
1234,4,6,0.3881685575364668,0.6118314424635333
1234,4,7,0.4343598055105348,0.5656401944894651
1234,4,8,0.4651539708265802,0.5348460291734197
1234,4,9,0.5072933549432739,0.49270664505672607
1234,5,0,0.14424635332252836,0.8557536466774717
1234,5,1,0.24878444084278767,0.7512155591572123
1234,5,2,0.320097244732577,0.679902755267423
1234,5,3,0.373581847649919,0.626418152350081
1234,5,4,0.3565640194489465,0.6434359805510534
1234,5,5,0.31766612641815234,0.6823338735818476
1234,5,6,0.36223662884927066,0.6377633711507293
1234,5,7,0.4035656401944895,0.5964343598055105
1234,5,8,0.5097244732576985,0.49027552674230146
1234,5,9,0.5559157212317666,0.44408427876823336
1234,6,0,0.11750405186385737,0.8824959481361426
1234,6,1,0.206645056726094,0.793354943273906
1234,6,2,0.2852512155591572,0.7147487844408428
1234,6,3,0.41166936790923825,0.5883306320907618
1234,6,4,0.33630470016207453,0.6636952998379254
1234,6,5,0.31037277147487846,0.6896272285251216
1234,6,6,0.353322528363047,0.646677471636953
1234,6,7,0.4181523500810373,0.5818476499189628
1234,6,8,0.4692058346839546,0.5307941653160454
1234,6,9,0.5113452188006483,0.4886547811993517
1234,7,0,0.11345218800648298,0.8865478119935171
1234,7,1,0.17341977309562398,0.826580226904376
1234,7,2,0.28363047001620745,0.7163695299837926
1234,7,3,0.33225283630470015,0.6677471636952999
1234,7,4,0.3038897893030794,0.6961102106969206
1234,7,5,0.2755267423014587,0.7244732576985413
1234,7,6,0.27633711507293357,0.7236628849270664
1234,7,7,0.34035656401944897,0.6596434359805511
1234,7,8,0.3687196110210697,0.6312803889789304
1234,7,9,0.3824959481361426,0.6175040518638574
1234,8,0,0.1085899513776337,0.8914100486223663
1234,8,1,0.20583468395461912,0.7941653160453809
1234,8,2,0.2747163695299838,0.7252836304700162
1234,8,3,0.31361426256077796,0.686385737439222
1234,8,4,0.28444084278768234,0.7155591572123177
1234,8,5,0.26823338735818475,0.7317666126418152
1234,8,6,0.2779578606158833,0.7220421393841167
1234,8,7,0.3354943273905997,0.6645056726094003
1234,8,8,0.3419773095623987,0.6580226904376013
1234,8,9,0.3679092382495948,0.6320907617504052
1234,9,0,0.06158833063209076,0.9384116693679092
1234,9,1,0.13209076175040518,0.8679092382495948
1234,9,2,0.18557536466774716,0.8144246353322528
1234,9,3,0.23987034035656402,0.7601296596434359
1234,9,4,0.21231766612641814,0.7876823338735819
1234,9,5,0.22123176661264182,0.7787682333873582
1234,9,6,0.21961102106969205,0.7803889789303079
1234,9,7,0.30307941653160453,0.6969205834683955
1234,9,8,0.32901134521880065,0.6709886547811994
1234,9,9,0.33306320907617504,0.666936790923825
